person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q126848493,Alex Barros-Curtis,https://en.wikipedia.org/wiki/Alex_Barros-Curtis,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126851238,Alex Brewer,https://en.wikipedia.org/wiki/Alex_Brewer_(politician),member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q30234239,Alex Burghart,https://en.wikipedia.org/wiki/Alex_Burghart,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q76364874,Alex Davies-Jones,https://en.wikipedia.org/wiki/Alex_Davies-Jones,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q4716944,Alex Easton,https://en.wikipedia.org/wiki/Alex_Easton,member of the 59th Parliament of the United Kingdom,independent politician
http://www.wikidata.org/entity/Q27680041,Alex Mayer,https://en.wikipedia.org/wiki/Alex_Mayer,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126849726,Alex McIntyre,https://en.wikipedia.org/wiki/Alex_McIntyre,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q30234243,Alex Norris,https://en.wikipedia.org/wiki/Alex_Norris_(British_politician),member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q30164792,Alex Sobel,https://en.wikipedia.org/wiki/Alex_Sobel,member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q125843497,Alice Macdonald,https://en.wikipedia.org/wiki/Alice_Macdonald,member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q76363294,Alicia Kearns,https://en.wikipedia.org/wiki/Alicia_Kearns,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q75962487,Alison Bennett,https://en.wikipedia.org/wiki/Alison_Bennett,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126848074,Alison Griffiths,https://en.wikipedia.org/wiki/Alison_Griffiths_(politician),member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q20631245,Alison Hume,https://en.wikipedia.org/wiki/Alison_Hume,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q694639,Alison McGovern,https://en.wikipedia.org/wiki/Alison_McGovern,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q76736924,Alison Taylor,https://en.wikipedia.org/wiki/Alison_Taylor_(politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q269124,Alistair Carmichael,https://en.wikipedia.org/wiki/Alistair_Carmichael,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126848013,Alistair Carns,https://en.wikipedia.org/wiki/Al_Carns,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q122848847,Alistair Strathern,https://en.wikipedia.org/wiki/Alistair_Strathern,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126852472,Allison Gardner,https://en.wikipedia.org/wiki/Allison_Gardner,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126851329,Amanda Hack,https://en.wikipedia.org/wiki/Amanda_Hack,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q76364288,Amanda Martin,https://en.wikipedia.org/wiki/Amanda_Martin,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q30224657,Andrew Bowie,https://en.wikipedia.org/wiki/Andrew_Bowie,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q126850822,Andrew Cooper,https://en.wikipedia.org/wiki/Andrew_Cooper_(Labour_politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q391275,Andrew George,https://en.wikipedia.org/wiki/Andrew_George_(politician),member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q60040580,Andrew Griffith,https://en.wikipedia.org/wiki/Andrew_Griffith,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q392216,Andrew Gwynne,https://en.wikipedia.org/wiki/Andrew_Gwynne,member of the 59th Parliament of the United Kingdom,independent politician
http://www.wikidata.org/entity/Q126853025,Andrew Lewin,https://en.wikipedia.org/wiki/Andrew_Lewin,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q333261,Andrew Mitchell,https://en.wikipedia.org/wiki/Andrew_Mitchell,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q578234,Andrew Murrison,https://en.wikipedia.org/wiki/Andrew_Murrison,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q4758196,Andrew Pakes,https://en.wikipedia.org/wiki/Andrew_Pakes,member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q126853302,Andrew Ranger,https://en.wikipedia.org/wiki/Andrew_Ranger_(politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q480092,Andrew Rosindell,https://en.wikipedia.org/wiki/Andrew_Rosindell,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q106797847,Andrew Snowden,https://en.wikipedia.org/wiki/Andrew_Snowden,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q76450765,Andrew Western,https://en.wikipedia.org/wiki/Andrew_Western,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126851759,Andy MacNae,https://en.wikipedia.org/wiki/Andy_MacNae,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q4761018,Andy McDonald,https://en.wikipedia.org/wiki/Andy_McDonald_(politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q391341,Andy Slaughter,https://en.wikipedia.org/wiki/Andy_Slaughter,member of the 59th Parliament of the United Kingdom,Labour Party
