person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q11578505,Kimie Hatano,https://en.wikipedia.org/wiki/Kimie_Hatano,member of the House of Representatives of Japan,Japanese Communist Party
http://www.wikidata.org/entity/Q1133136,Kisaburo Tokai,https://en.wikipedia.org/wiki/Kisaburo_Tokai,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6416606,Kishirō Nakamura,https://en.wikipedia.org/wiki/Kishir%C5%8D_Nakamura,member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q6418998,Kiyohiko Toyama,https://en.wikipedia.org/wiki/Kiyohiko_Toyama,member of the House of Representatives of Japan,Komeito
http://www.wikidata.org/entity/Q405533,Kiyomi Tsujimoto,https://en.wikipedia.org/wiki/Kiyomi_Tsujimoto,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q11638274,Kiyoto Tsuji,https://en.wikipedia.org/wiki/Kiyoto_Tsuji,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6426211,Koichi Hagiuda,https://en.wikipedia.org/wiki/K%C5%8Dichi_Hagiuda,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6426240,Koichi Tani,https://en.wikipedia.org/wiki/Koichi_Tani,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q11466402,Koichi Yamauchi,https://en.wikipedia.org/wiki/Koichi_Yamauchi,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q6426455,Koji Sato,https://en.wikipedia.org/wiki/Koji_Sato_(politician),member of the House of Representatives of Japan,Party of Hope
http://www.wikidata.org/entity/Q11629931,Kosaburo Nishime,https://en.wikipedia.org/wiki/Kosaburo_Nishime,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6435368,Kozo Yamamoto,https://en.wikipedia.org/wiki/Kozo_Yamamoto,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q58213,Kōichirō Genba,https://en.wikipedia.org/wiki/K%C5%8Dichir%C5%8D_Genba,member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q11422694,Kōnosuke Kokuba,https://en.wikipedia.org/wiki/Konosuke_Kokuba,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q41770579,Maki Ikeda,https://en.wikipedia.org/wiki/Maki_Ikeda,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q6739516,Makiko Kikuta,https://en.wikipedia.org/wiki/Makiko_Kikuta,member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q11673487,Makoto Oniki,https://en.wikipedia.org/wiki/Makoto_Oniki_(House_of_Representatives),member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q1131407,Manabu Horii,https://en.wikipedia.org/wiki/Manabu_Horii,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6746574,Manabu Sakai,https://en.wikipedia.org/wiki/Manabu_Sakai,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6746585,Manabu Terata,https://en.wikipedia.org/wiki/Manabu_Terata,member of the House of Representatives of Japan,Party of Hope
http://www.wikidata.org/entity/Q6782264,Masaaki Taira,https://en.wikipedia.org/wiki/Masaaki_Taira,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q1906668,Masaharu Nakagawa,https://en.wikipedia.org/wiki/Masaharu_Nakagawa_(House_of_Representatives),member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q6782350,Masahiko Shibayama,https://en.wikipedia.org/wiki/Masahiko_Shibayama,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6782366,Masahiro Imamura,https://en.wikipedia.org/wiki/Masahiro_Imamura,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q41777917,Masahiro Kōmura,https://en.wikipedia.org/wiki/Masahiro_K%C5%8Dmura,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6782391,Masahito Moriyama,https://en.wikipedia.org/wiki/Masahito_Moriyama,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q17220479,Masakazu Hamachi,https://en.wikipedia.org/wiki/Masakazu_Hamachi,member of the House of Representatives of Japan,Komeito
http://www.wikidata.org/entity/Q11431868,Masaki Ōgushi,https://en.wikipedia.org/wiki/Masaki_Ogushi,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q6782480,Masako Okawara,https://en.wikipedia.org/wiki/Masako_%C5%8Ckawara,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q11458942,Masanobu Ogura,https://en.wikipedia.org/wiki/Masanobu_Ogura,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q11376723,Masato Imai,https://en.wikipedia.org/wiki/Masato_Imai,member of the House of Representatives of Japan,Party of Hope
