title,n_v02,n_wiki,sim_mean,sim_median,sim_max,sim_p90
1977 kerala legislative assembly election,144,1,0.6024166941642761,0.5975491404533386,0.8427659273147583,0.7720412015914917
1977 nestlé boycott,173,7,0.5878151655197144,0.617363691329956,0.8279649019241333,0.724460780620575
1978 gator bowl,93,3,0.6147696375846863,0.6170617938041687,0.8880928754806519,0.7629048824310303
1978 in british music,109,1,0.46375006437301636,0.4546665847301483,0.6996999979019165,0.6106680631637573
1978 karnataka legislative assembly election,108,1,0.581004798412323,0.6081372499465942,0.9082784056663513,0.7476646900177002
1978 nba finals,202,3,0.5308460593223572,0.5284247398376465,0.8343535661697388,0.6843724250793457
1978 united states senate election in massachusetts,96,1,0.6293754577636719,0.6482623815536499,0.8858097195625305,0.7275930047035217
1978–79 seattle supersonics season,102,1,0.613021731376648,0.6262176632881165,0.8333346247673035,0.7284987568855286
1979 french open – men's singles,65,1,0.6830114722251892,0.6690644025802612,0.898341178894043,0.8392026424407959
1979 italian general election,211,8,0.5424371361732483,0.5543851256370544,0.8590214848518372,0.6684022545814514
1979 machchhu dam failure,133,6,0.5575974583625793,0.5517237186431885,0.918476939201355,0.716017484664917
1979 qatif uprising,106,1,0.5784945487976074,0.5856293439865112,0.812434196472168,0.7207217216491699
1979 scottish devolution referendum,182,5,0.5919921398162842,0.602912425994873,0.8500367403030396,0.7279734015464783
1979–80 united states network television schedule,179,1,0.5806809067726135,0.56800377368927,0.7532568573951721,0.6927478313446045
1980 ballon d'or,81,1,0.6353720426559448,0.643763542175293,0.8670428991317749,0.7743134498596191
1980 chilean constitutional referendum,126,5,0.5692371129989624,0.572572648525238,0.8488801717758179,0.7221277952194214
1980 in american television,108,1,0.4267270267009735,0.41840997338294983,0.5866069793701172,0.5329704880714417
1980 in british television,182,1,0.4032459259033203,0.41822904348373413,0.5792000889778137,0.5059341788291931
1980 surinamese coup d'état,166,5,0.5082145929336548,0.5059119462966919,0.9053888320922852,0.66181880235672
1980 united states presidential election in oklahoma,147,2,0.44718486070632935,0.3824596703052521,0.8620275259017944,0.6834768652915955
1981 in film,160,1,0.4063149392604828,0.39579808712005615,0.6475005149841309,0.5375587344169617
1981 major league baseball strike,141,4,0.5715559124946594,0.6122300028800964,0.8348072171211243,0.7427355051040649
1981 new zealand general election,142,7,0.5657103657722473,0.5659146308898926,0.8928487300872803,0.7291055917739868
1981 san francisco 49ers season,196,6,0.5667403936386108,0.5582516193389893,0.8938137292861938,0.6872110366821289
1981 wimbledon championships,112,1,0.5558779239654541,0.5484304428100586,0.8274006247520447,0.7133646011352539
1982 formula one world championship,222,4,0.5618946552276611,0.5616584420204163,0.8752091526985168,0.694938063621521
1982 new york jets season,204,1,0.5840187072753906,0.5793214440345764,0.8924357891082764,0.7075506448745728
1983 (tv series),80,3,0.628159761428833,0.6378492712974548,0.8598978519439697,0.7345114350318909
1983 us embassy bombing in beirut,140,13,0.5397207140922546,0.5456477403640747,0.8896617293357849,0.6677013635635376
1983 washington redskins season,126,2,0.6111366152763367,0.6109139919281006,0.8126171827316284,0.7341387271881104
1983–84 football league,138,8,0.5096361637115479,0.5045310258865356,0.845406174659729,0.6128512620925903
1984 24 hours of le mans,130,14,0.5462294816970825,0.5469618439674377,0.8080457448959351,0.6660870313644409
1984 uefa cup final,134,1,0.634007453918457,0.6327904462814331,0.8172426819801331,0.7622430324554443
1984 united states presidential election in idaho,139,6,0.6037089824676514,0.6256945133209229,0.9051783084869385,0.7625963091850281
1984–85 edmonton oilers season,157,4,0.5957963466644287,0.5997328162193298,0.884627103805542,0.7171321511268616
1984–85 european cup winners' cup,116,2,0.5570061206817627,0.5469399690628052,0.8127517700195312,0.7149898409843445
1984–85 scottish premier division,75,2,0.6573890447616577,0.6655874252319336,0.8616986274719238,0.7823955416679382
1985 australian open – men's singles,86,1,0.6238992214202881,0.6129717230796814,0.8295069336891174,0.7589302062988281
1985 in film,127,1,0.48341891169548035,0.48676782846450806,0.6566184163093567,0.595914363861084
1985 intercontinental cup,85,1,0.6221085786819458,0.6334028840065002,0.8588743209838867,0.7609437108039856
1985 liberian general election,132,7,0.5731468796730042,0.5815727710723877,0.9065051078796387,0.7125390768051147
